symbol,entry_ms,exit_ms,direction,entry_z,entry_price,exit_price,gross_ret,gross_pnl_usd,fee_usd,pnl_usd
ADAUSDT,1685437200000,1685455200000,-1,-1.02530944,0.38100000,0.37520000,0.0152230971,152.2310,24.0000,128.2310
ADAUSDT,1685458800000,1685476800000,-1,-1.05718067,0.37660000,0.37770000,-0.0029208710,-29.2087,24.0000,-53.2087
ADAUSDT,1685552400000,1685570400000,-1,-1.19187365,0.37470000,0.37460000,0.0002668802,2.6688,24.0000,-21.3312
ADAUSDT,1685595600000,1685613600000,-1,-1.01736404,0.36520000,0.36250000,0.0073932092,73.9321,24.0000,49.9321
ADAUSDT,1685613600000,1685631600000,-1,-1.00383399,0.36250000,0.36430000,-0.0049655172,-49.6552,24.0000,-73.6552
ADAUSDT,1685635200000,1685653200000,-1,-1.12423761,0.36640000,0.36560000,0.0021834061,21.8341,24.0000,-2.1659
ADAUSDT,1686535200000,1686553200000,1,1.22702919,0.26740000,0.27820000,0.0403889304,403.8893,24.0000,379.8893
ADAUSDT,1686553200000,1686571200000,1,1.01970833,0.27820000,0.28310000,0.0176132279,176.1323,24.0000,152.1323
ADAUSDT,1686589200000,1686607200000,1,1.02482666,0.27590000,0.27540000,-0.0018122508,-18.1225,24.0000,-42.1225
ADAUSDT,1686657600000,1686675600000,1,1.00706443,0.28060000,0.27300000,-0.0270848182,-270.8482,24.0000,-294.8482
ADAUSDT,1686772800000,1686790800000,1,1.35002026,0.25790000,0.25970000,0.0069794494,69.7945,24.0000,45.7945
ADAUSDT,1692306000000,1692324000000,1,1.05045657,0.25020000,0.25580000,0.0223820943,223.8209,24.0000,199.8209
ADAUSDT,1692446400000,1692464400000,1,1.03198136,0.26490000,0.26770000,0.0105700264,105.7003,24.0000,81.7003
ADAUSDT,1692475200000,1692493200000,1,1.21147970,0.26800000,0.26800000,0.0000000000,0.0000,24.0000,-24.0000
ADAUSDT,1692540000000,1692558000000,1,1.00987954,0.26710000,0.27190000,0.0179707975,179.7080,24.0000,155.7080
ADAUSDT,1692630000000,1692648000000,1,1.05180943,0.26140000,0.26450000,0.0118592196,118.5922,24.0000,94.5922
ADAUSDT,1697950800000,1697968800000,-1,-1.19123863,0.26270000,0.25800000,0.0178911306,178.9113,24.0000,154.9113
ADAUSDT,1697994000000,1698012000000,-1,-1.18446750,0.26110000,0.26350000,-0.0091918805,-91.9188,24.0000,-115.9188
ADAUSDT,1698012000000,1698030000000,-1,-1.21938725,0.26350000,0.26650000,-0.0113851992,-113.8520,24.0000,-137.8520
ADAUSDT,1698098400000,1698116400000,-1,-1.12281152,0.27920000,0.28230000,-0.0111031519,-111.0315,24.0000,-135.0315
ADAUSDT,1698289200000,1698307200000,-1,-1.16763149,0.29000000,0.29650000,-0.0224137931,-224.1379,24.0000,-248.1379
ADAUSDT,1698418800000,1698436800000,-1,-1.15280391,0.29180000,0.28930000,0.0085675120,85.6751,24.0000,61.6751
ADAUSDT,1698458400000,1698476400000,-1,-1.22066043,0.29550000,0.29330000,0.0074450085,74.4501,24.0000,50.4501
